n,search_name,mean_times,ci95_times,mean_expanded,ci95_expanded
512,astar,0.7838165561913532,0.05483466198295972,242617.78333333333,13144.27052463806
512,jps,0.20017391730919673,0.0035682483371567973,11045.591666666667,2308.415089540643
