n,scen_dir,search_name,mean_times,ci95_times,mean_expanded,ci95_expanded
512,maze,astar,2.6606947843295834e-05,2.9273704994604005e-06,3.6666666666666665,0.27031459666027713
512,maze,jps,0.0006056326499674469,0.00022569275919657246,2.5166666666666666,0.13575814875328485
512,random,astar,2.096136865605201e-05,1.7454137993117236e-06,3.5142857142857142,0.30043678348292374
512,random,jps,3.113577134042446e-05,3.590500083638732e-06,2.8285714285714287,0.1911575721526729
512,room,astar,2.271459816256538e-05,2.527330536056047e-06,3.55,0.4435751027671321
512,room,jps,0.0008809406725049484,0.0003497150987121655,2.45,0.18501254288734323
