algo,n,scen_name,mean_times,ci95_times,mean_expanded,ci95_expanded
astar,512,maze512-16-1.map,1.1499611459985317,0.03768683884511119,329087.5,2068.7799999999993
jps,512,maze512-16-1.map,0.1976759579993086,0.004961412688426207,610.5,0.98
astar,512,maze512-1-9.map,0.2582419159953133,0.016237619999446905,120138.0,3204.5999999999995
jps,512,maze512-1-9.map,0.20325477099686395,0.004171656162652653,33214.5,851.6199999999999
astar,512,maze512-1-8.map,0.27059558349719737,0.002344731342745945,124092.5,1047.6199999999997
jps,512,maze512-1-8.map,0.21241747900421615,0.0007200138426560443,34200.0,292.04
astar,512,maze512-1-3.map,0.2716163545010204,0.02340088981654844,124200.5,12588.1
jps,512,maze512-1-3.map,0.21189318750111852,0.019003710185352244,34101.0,3428.04
astar,512,maze512-1-2.map,0.28286470849707257,0.001613406335818581,129829.0,713.4399999999998
jps,512,maze512-1-2.map,0.22209089650277747,0.00017358249548124146,35927.5,198.93999999999997
astar,512,maze512-16-7.map,1.0557162294971931,0.11002488517973688,313511.0,34325.47999999999
jps,512,maze512-16-7.map,0.18912552099936875,0.009040786160330754,603.5,36.26
astar,512,maze512-16-6.map,1.045267187499121,0.014922664818150222,311304.5,2656.7799999999993
jps,512,maze512-16-6.map,0.18806893799774116,0.0012909461607341652,576.0,5.879999999999999
astar,512,maze512-8-1.map,1.0061510005034506,0.011277023660659323,304860.5,7156.939999999999
jps,512,maze512-8-1.map,0.19135464549981407,0.0015989925038593356,2015.5,22.54
astar,512,maze512-8-0.map,0.8301253750032629,0.2968517999985488,249956.0,79611.28
jps,512,maze512-8-0.map,0.16530285450062365,0.057460625175299346,1760.5,581.1399999999999
astar,512,maze512-4-3.map,0.7998661255005572,0.024061368655093243,253462.0,6054.44
jps,512,maze512-4-3.map,0.19187185400005546,0.007077601164201041,6450.0,192.07999999999998
astar,512,maze512-4-2.map,0.8111444165006105,0.05757042634082609,256996.5,21006.3
jps,512,maze512-4-2.map,0.19529527100166888,0.009977911158493953,6527.0,382.2
astar,512,maze512-2-7.map,0.5465576880014851,0.09064113884611288,186039.5,24001.18
jps,512,maze512-2-7.map,0.2212334585019562,0.029374928657052803,25506.0,2932.1599999999994
astar,512,maze512-2-6.map,0.5912279795011273,0.00364760018128436,203384.0,503.71999999999986
jps,512,maze512-2-6.map,0.24382566650092485,0.0023542040232860015,27543.5,122.5
astar,512,maze512-32-0.map,1.0850371249944146,0.0008810199987783562,315756.5,387.0999999999999
jps,512,maze512-32-0.map,0.19479674999820418,0.006018997317441971,155.0,1.96
astar,512,maze512-32-1.map,0.9610774789980496,0.07402205383696127,278520.5,20990.62
jps,512,maze512-32-1.map,0.18815554149841773,0.006259505979978711,150.0,3.92
astar,512,maze512-4-9.map,0.7353774790026364,0.08021034615288954,218904.5,5867.26
jps,512,maze512-4-9.map,0.16721547900306177,0.004756878834887174,5662.5,146.02
astar,512,maze512-4-8.map,0.8372895414977393,0.08436468866260839,256481.5,11872.699999999999
jps,512,maze512-4-8.map,0.19604283349690377,0.008314156340347836,6645.5,106.81999999999998
astar,512,maze512-1-7.map,0.2408596459972614,0.03400906347538694,114144.0,16346.4
jps,512,maze512-1-7.map,0.19331112449799548,0.035105641342088344,31530.5,4514.859999999999
astar,512,maze512-1-6.map,0.24241337450075662,0.03483254866499919,109905.0,24848.88
jps,512,maze512-1-6.map,0.19063079199986532,0.04073647731245728,30535.0,6830.5999999999985
astar,512,maze512-16-3.map,1.1102902079983323,0.06302478000186966,319894.0,6373.919999999999
jps,512,maze512-16-3.map,0.191253749999305,0.0042051800117769746,590.5,12.739999999999998
astar,512,maze512-16-2.map,1.0985247294993314,0.04041287250947789,317113.5,1225.98
jps,512,maze512-16-2.map,0.2002795829976094,0.0017983000027015804,607.0,7.84
astar,512,maze512-16-9.map,1.0090127290022792,0.0398445538393571,297347.5,17495.94
jps,512,maze512-16-9.map,0.18030704199918546,0.014371537321421782,560.5,97.01999999999998
astar,512,maze512-16-8.map,1.1098447505028162,0.01803142866017879,330615.5,10824.1
jps,512,maze512-16-8.map,0.1953763129968138,0.009806328836566536,607.5,18.62
astar,512,maze512-2-9.map,0.5761830415031,0.09189713133368058,190782.0,9733.36
jps,512,maze512-2-9.map,0.23029302099894267,0.0056981688362429846,26032.0,1027.0399999999997
astar,512,maze512-2-8.map,0.5459029164994718,0.17918213865690633,181647.5,39275.45999999999
jps,512,maze512-2-8.map,0.21733943749859463,0.03956337518087821,24473.5,4867.66
astar,512,maze512-4-7.map,0.807949041500251,0.0028097413397335912,245842.0,15811.319999999998
jps,512,maze512-4-7.map,0.19127889599985792,0.014355733838310696,6306.5,467.4599999999999
astar,512,maze512-4-6.map,0.7798764789986308,0.036617576525895854,242426.5,149.94
jps,512,maze512-4-6.map,0.1865064789999451,0.01247650151941343,6256.5,157.77999999999997
astar,512,maze512-8-5.map,0.9701504580007168,0.011603852683911097,296234.0,854.5599999999998
jps,512,maze512-8-5.map,0.19343718749951222,0.0038755324973317328,2046.5,0.98
astar,512,maze512-8-4.map,0.9942698960003327,0.011461468480702022,302511.0,329.2799999999999
jps,512,maze512-8-4.map,0.19590710400007083,0.00876850884887972,2042.0,15.68
astar,512,maze512-32-4.map,1.087929333501961,0.004290685983723961,312953.5,244.01999999999998
jps,512,maze512-32-4.map,0.1945346040010918,0.0005876315268687903,155.0,0.0
astar,512,maze512-32-5.map,1.0813945834961487,0.04636543366359546,311066.5,11335.659999999998
jps,512,maze512-32-5.map,0.19379545799893094,0.0027774023127858523,152.5,4.9
astar,512,maze512-2-3.map,0.5081374795008742,0.12586225749648292,179458.0,42353.64
jps,512,maze512-2-3.map,0.21798047899574158,0.05020829884146224,24721.5,5675.18
astar,512,maze512-2-2.map,0.4627290419994097,0.2212593373180425,163249.0,74070.35999999999
jps,512,maze512-2-2.map,0.1962628545006737,0.08710235982289305,22206.5,9842.14
astar,512,maze512-8-8.map,0.9596862079997663,0.01680054768017726,286725.5,1841.4199999999998
jps,512,maze512-8-8.map,0.18465135399674182,0.013928781166177939,1915.0,39.2
astar,512,maze512-8-9.map,0.9410007914957532,0.07427232133879441,281499.0,24335.36
jps,512,maze512-8-9.map,0.18647052099913708,0.021632561157312012,1965.5,200.9
astar,512,maze512-32-9.map,1.0985782290008501,0.08893079384288284,324240.0,26338.48
jps,512,maze512-32-9.map,0.19564333299786085,0.001422469993121922,152.5,4.9
astar,512,maze512-32-8.map,1.0377644789987244,0.0012072365244966932,306075.5,2196.18
jps,512,maze512-32-8.map,0.20167962499544956,0.00044761500001186497,163.5,0.98
astar,512,maze512-8-2.map,0.9761267079993559,0.053818742322182506,303503.0,17751.72
jps,512,maze512-8-2.map,0.19152420799582615,0.013372427321883151,2008.5,95.06
astar,512,maze512-8-3.map,0.9386412499989092,0.08121039500299958,285212.0,26214.999999999996
jps,512,maze512-8-3.map,0.18803702050354332,0.01460040749690961,1932.5,198.93999999999997
astar,512,maze512-4-0.map,0.7943122085016512,0.07108103366670547,250578.0,24952.759999999995
jps,512,maze512-4-0.map,0.1879673335024563,0.013317709021648624,6428.5,671.2999999999998
astar,512,maze512-4-1.map,0.8422444585012272,0.004213591340812854,262178.0,4153.239999999999
jps,512,maze512-4-1.map,0.19390164599826676,0.0004226661591383162,6551.5,12.739999999999998
astar,512,maze512-2-4.map,0.5673029374993348,0.016193315184063976,197476.5,142.1
