algo,n,scen_name,mean_times,ci95_times,mean_expanded,ci95_expanded
astar,512,maze512-32-4.map,1.3908299297327176e-05,3.7902754643837003e-06,3.4,0.7839999999999999
jps,512,maze512-32-4.map,0.002873670800909167,0.000865622964308112,2.5,0.32666666666666666
astar,512,maze512-32-5.map,1.47668004501611e-05,3.7014776886575182e-06,3.7,0.8789701044088156
jps,512,maze512-32-5.map,0.0034458417998394,0.0011932633877507132,2.3,0.29939494540378153
astar,512,maze512-2-3.map,1.0908301192102954e-05,3.579233381056714e-06,3.2,0.7619110475931192
jps,512,maze512-2-3.map,2.22709022636991e-05,6.565533478584468e-06,2.3,0.29939494540378153
astar,512,maze512-2-2.map,8.987501496449113e-06,1.595554929431636e-06,2.3,0.4183374501789461
jps,512,maze512-2-2.map,2.0524999126791953e-05,3.511858878251006e-06,2.1,0.19599999999999998
astar,512,maze512-8-8.map,1.1383299715816975e-05,2.7535907567131574e-06,3.1,0.6163534339610315
jps,512,maze512-8-8.map,0.00020260429955669678,6.429050449692505e-05,2.4,0.3200666597236686
astar,512,maze512-8-9.map,1.435430021956563e-05,2.782989112886309e-06,3.8,0.6401333194473372
jps,512,maze512-8-9.map,0.00026880420045927167,6.782497216473441e-05,2.7,0.4183374501789461
astar,512,maze512-32-9.map,1.5891800285317003e-05,4.800979627960718e-06,3.4,0.9778197970769233
jps,512,maze512-32-9.map,0.004326504198979819,0.0015620611908575674,2.4,0.3200666597236686
astar,512,maze512-32-8.map,1.4358200132846832e-05,2.7885200815495693e-06,3.4,0.5226666666666666
jps,512,maze512-32-8.map,0.003882870699453633,0.0005806832561128742,2.4,0.3200666597236686
astar,512,maze512-8-2.map,1.2387599417706951e-05,4.392468341773989e-06,3.4,0.9778197970769233
jps,512,maze512-8-2.map,0.00020492469921009615,6.777164656012719e-05,2.2,0.2613333333333333
astar,512,maze512-8-3.map,1.2091699318261817e-05,3.264967069121791e-06,3.3,0.7186666666666666
jps,512,maze512-8-3.map,0.00022040429903427138,9.5333105401604e-05,2.4,0.4333723059397722
astar,512,maze512-4-0.map,1.1554401862667873e-05,3.808671992504947e-06,3.3,0.8789701044088156
jps,512,maze512-4-0.map,5.232089970377274e-05,1.8096728390892917e-05,2.4,0.4333723059397722
astar,512,maze512-4-1.map,1.2654100282816217e-05,2.2665529693825353e-06,3.5,0.5267341728888385
jps,512,maze512-4-1.map,7.208760071080178e-05,1.7920203413348002e-05,2.6,0.4333723059397722
astar,512,maze512-2-4.map,9.079099982045591e-06,3.7470928442101654e-06,2.8,0.9601999791710057
jps,512,maze512-2-4.map,1.8045999604510142e-05,7.057002282494229e-06,2.1,0.45733333333333326
astar,512,maze512-2-5.map,1.1520799307618291e-05,3.0281060422463083e-06,3.1,0.7974949668946019
jps,512,maze512-2-5.map,2.1595598809653893e-05,4.915341950209521e-06,2.3,0.29939494540378153
astar,512,maze512-32-3.map,1.5958299627527595e-05,4.0813175468859e-06,3.4,0.7839999999999999
jps,512,maze512-32-3.map,0.0026707750002969988,0.0005426835074664046,2.4,0.3200666597236686
astar,512,maze512-32-2.map,1.5170899860095233e-05,3.2808472296012114e-06,3.4,0.7275212100764561
jps,512,maze512-32-2.map,0.003957962600543397,0.0011112901121006445,2.4,0.3200666597236686
astar,512,maze512-1-0.map,6.674900942016393e-06,1.7593505647353068e-06,2.7,0.588
jps,512,maze512-1-0.map,9.949799277819693e-06,3.1578870436093894e-06,2.2,0.39199999999999996
astar,512,maze512-1-1.map,8.962600259110331e-06,2.878550515718995e-06,3.1,0.6821000252488226
jps,512,maze512-1-1.map,1.1179201101185754e-05,3.4580197682344946e-06,2.3,0.4183374501789461
astar,512,maze512-16-4.map,1.2200000492157415e-05,2.933860985404512e-06,3.0,0.5843590981199449
jps,512,maze512-16-4.map,0.0009247291010979098,0.00023786851681164146,2.3,0.29939494540378153
astar,512,maze512-16-5.map,1.4845799887552857e-05,3.778621660508452e-06,3.8,0.9146666666666665
jps,512,maze512-16-5.map,0.0009343669000372757,0.0003550158915167378,2.6,0.3200666597236686
