algo,prob,n,mean_times,ci95_times,mean_expanded,ci95_expanded
astar,0.1,3,7.567036994838749e-06,1.7763964119114765e-06,2.981818181818182,0.2454049954620122
jps,0.1,3,1.0432263330916281e-05,5.637773358960498e-07,2.4909090909090907,0.12844339006223168
astar,0.1,5,1.3661893511501451e-05,1.1147472811759643e-06,4.886666666666667,0.3931107008806874
jps,0.1,5,2.1682500179546575e-05,9.755534983696796e-07,3.1466666666666665,0.17529465603804328
astar,0.1,10,3.416755294892937e-05,4.57878572689322e-06,10.553333333333333,1.5033665445321356
jps,0.1,10,5.4326686755909276e-05,4.056787953058801e-06,4.733333333333333,0.41403540000028144
astar,0.1,20,9.481249357728908e-05,1.2587578612146265e-05,30.153333333333332,4.090026365073308
jps,0.1,20,0.00012819248009085036,1.3783936892668537e-05,10.8,1.156248752100421
astar,0.1,30,0.00015150414663366973,1.7243522185274934e-05,48.526666666666664,5.6806710218585215
jps,0.1,30,0.00019824193994281815,2.17156687733173e-05,15.9,1.8544439882597805
astar,0.1,100,0.0011931466335469547,0.00020037153908198467,387.86,66.5119211604335
jps,0.1,100,0.0014407133264952184,0.0002381468316828837,117.08,18.839795445846597
astar,0.1,500,0.030610113893732582,0.005111784007237217,8757.48,1412.0785011467574
jps,0.1,500,0.03497179693969277,0.005740660047311213,2661.4133333333334,433.27942323810856
astar,0.25,3,6.1455936232520325e-06,6.068507603170585e-07,2.989010989010989,0.24975948983240104
jps,0.25,3,9.395109453100384e-06,6.803229761055001e-07,2.6043956043956045,0.17562616444708856
astar,0.25,5,1.392611976674137e-05,1.6728506787508751e-06,5.506666666666667,0.5423815570589887
jps,0.25,5,1.823169999018622e-05,1.4722115012988501e-06,3.4266666666666667,0.26439353670627186
astar,0.25,10,4.391920665511861e-05,7.306933004374413e-06,17.14,2.963657502817165
jps,0.25,10,4.896051987695197e-05,5.620643950998355e-06,7.453333333333333,0.8973877545317823
astar,0.25,20,0.00012907831362099387,2.213642949673536e-05,49.126666666666665,8.922178719259337
jps,0.25,20,0.0001438755667671406,2.0580010592629065e-05,20.813333333333333,3.113799434596959
astar,0.25,30,0.00021888028670218773,4.1652889822790545e-05,83.96666666666667,16.542898078035883
jps,0.25,30,0.00023033053352264688,4.027005998645774e-05,33.34,6.273036642519256
astar,0.25,100,0.002146454453759361,0.0003920823981713387,799.0333333333333,143.9689080136914
jps,0.25,100,0.0021353953399617844,0.0003987119576771173,297.75333333333333,55.14186097036487
astar,0.25,500,0.0631681932999345,0.012564834888292497,20721.093333333334,3927.5633105740903
jps,0.25,500,0.060209238353563704,0.012111220743798437,7768.98,1514.190580440401
astar,0.5,3,5.7545781828594045e-06,7.12352679866152e-07,2.890625,0.2899443942139787
jps,0.5,3,8.084625505944132e-06,8.664574135757586e-07,2.453125,0.23069800861853046
astar,0.5,5,7.307035149197974e-06,9.446832325085668e-07,3.625,0.4083333333333333
jps,0.5,5,8.2988469027138e-06,9.276587503071147e-07,2.1458333333333335,0.19600832830013823
astar,0.5,10,2.2539733375500267e-05,3.507843247180887e-06,10.64,1.6119211500580526
jps,0.5,10,2.1474753302754835e-05,3.030502760115329e-06,4.493333333333333,0.5710937890170409
astar,0.5,20,5.691110690046723e-05,8.84130692310269e-06,25.593333333333334,3.9147828697954052
jps,0.5,20,5.1666372892213983e-05,7.703242239058701e-06,9.96,1.4568384576004383
astar,0.5,30,5.4641406750306485e-05,1.1240923918406966e-05,24.473333333333333,4.931293281998121
jps,0.5,30,5.101388038989777e-05,1.0540181400781571e-05,9.74,1.9291006328656357
astar,0.5,100,0.00011144332675030454,2.3515304692687165e-05,49.266666666666666,10.299428889128142
jps,0.5,100,9.994858681845169e-05,2.1168207689433727e-05,18.466666666666665,3.8823585749386544
astar,0.5,500,0.00013209586642915383,2.666690024686769e-05,55.6,11.715380528250043
jps,0.5,500,0.00011567557322753904,2.3872186726870644e-05,21.166666666666668,4.6221851700746335
astar,0.75,3,2.6740586583721724e-06,4.1391053586621153e-07,1.5,0.20687816215116703
jps,0.75,3,3.235293714918525e-06,5.895605429138607e-07,1.3823529411764706,0.18530936756417832
astar,0.75,5,3.7624768516425753e-06,5.696876478280409e-07,2.119047619047619,0.27455891363218604
jps,0.75,5,4.126512327015267e-06,5.338496135425256e-07,1.4166666666666667,0.12513072147355594
astar,0.75,10,4.497240151977166e-06,5.825383544043451e-07,2.506666666666667,0.2935958345483315
jps,0.75,10,4.889480090544869e-06,6.429290957382798e-07,1.5333333333333334,0.14201297059792192
astar,0.75,20,7.445840262031803e-06,1.2125506660710023e-06,3.9133333333333336,0.5953170191992225
jps,0.75,20,6.826933677075431e-06,1.0262726210034344e-06,1.78,0.19522675211847712
astar,0.75,30,6.99361339987566e-06,9.0907048551563e-07,3.6533333333333333,0.4457498599980625
jps,0.75,30,7.018693431746215e-06,9.084116725717165e-07,1.8866666666666667,0.19404929345998445
astar,0.75,100,6.4204871887341144e-06,9.449424850962287e-07,3.3133333333333335,0.45534457966923647
jps,0.75,100,6.2785935976232094e-06,9.032875566087239e-07,1.7066666666666668,0.18683797061420995
astar,0.75,500,8.803620003163815e-06,1.293805660239096e-06,3.24,0.4815941730046531
jps,0.75,500,8.013593178475276e-06,1.2478400114728662e-06,1.6466666666666667,0.19191166374553922
